Order;City;Cantidad
1004721226832-01;Latacunga;1
1004721281201-01;Quito;25
1004721639974-01;Banos De Agua Santa;1
1004721800798-01;Quito;22
1004722774216-01;Quito;12
1004722827367-01;Guayaquil;4
1004731107210-01;La Troncal;10
1004731366371-01;Quito;31
1004731807904-01;Quito;1
1004732096139-01;Quito;1
1004733565875-01;Guayaquil;7
1004740657639-01;Guayaquil;16
1004742093857-01;Piñas;1
1004742545046-01;Guayaquil;1
1004742802311-01;Quito;33
1004743379040-01;Quito;1
1004743393111-01;La Libertad;1
1004750112570-01;Ambato;1
1004750165429-01;Quito;5
1004750366755-01;Ruminahui;10
1004761983955-01;Quito;3
1004762661116-01;Manta;2
1004763044699-01;Cuenca;1
1004770412162-01;Machala;1
1004770901406-01;Ibarra;1
1004771194189-01;Riobamba;1
1004771259641-01;Guayaquil;1
1004771485113-01;Quito;20
1004771502291-01;Baba;1
1004771705675-01;Quito;1
1004772085654-01;Quito;5
1004772244053-01;Palestina;1
1004772330866-01;Quito;1
1004772402303-01;Daule;1
1004772784981-01;Quito;1
1004780041902-01;Guayaquil;1
1004780088554-01;Babahoyo;1
1004780267995-01;Quito;2
1004781192534-01;Guayaquil;8
1004781930745-01;Samborondon;1
1004781972823-01;Latacunga;1
1004783247042-01;Quito;1
1004783254176-01;Guayaquil;1
1004783426884-01;Guayaquil;1
1004790786512-01;Guayaquil;2
1004790932689-01;Guayaquil;1
1004790987769-01;Quito;2
1004791157224-01;Guayaquil;1
1004791223998-01;Quito;1
1004791261397-01;Cuenca;15
1004791394606-01;Guayaquil;1
1004793172179-01;Machala;2
1004793366169-01;Latacunga;1
1004800180400-01;Guayaquil;1
1004800426486-01;Latacunga;1
1004800995432-01;Daule;1
1004801534894-01;Quito;1
1004802125647-01;Quito;21
1004802367647-01;Santa Elena;17
1004803157192-01;Ambato;20
1004810009115-01;La Libertad;8
1004813054558-01;Cuenca;2
1004813410243-01;Ambato;1
1004820713102-01;Azogues;1
1004820718665-01;Lago Agrio;1
1004822697380-01;Quito;1
1004822945151-01;Quito;1
1004831500567-01;Bolivar;2
1004831558863-01;Milagro;1
1004831813723-01;Guayaquil;9
1004832849527-01;Guayaquil;5
1004842025143-01;Guayaquil;5
1004842997635-01;Quito;1
1004843268336-01;Quito;1
1004852545525-01;Pichincha;1
1004893219878-01;Daule;22
1004931749134-01;Ambato;1
1004932629927-01;Guayaquil;21
1004941844437-01;Guayaquil;1
1004961574737-01;Riobamba;1
1004963220361-01;Quito;5
1004971773203-01;Quito;5
1004971987199-01;Duran;1
1004982290247-01;Guayaquil;1
1004992522256-01;Quito;19
1005001038179-01;Quito;2
1005001110659-01;Quito;1
1005003369136-01;Guayaquil;1
1005010969976-01;Quito;1
1005012369536-01;Guayaquil;1
1005012589983-01;Machala;25
1005012882195-01;Guayaquil;1
1005013591223-01;Quito;1
1005020661888-01;Daule;2
1005030834883-01;Samborondon;1
1005031482462-01;Portoviejo;1
1005032979095-01;Quito;1
1005033502002-01;Zamora;3
1005040376014-01;Quito;15
1005040758083-01;Santa Elena;1
1005040820845-01;Quito;7
1005041044656-01;Guayaquil;2
1005041102085-01;Quito;2
1005041173509-01;Esmeraldas;2
1005042662887-01;La Libertad;1
1005050098267-01;Ventanas;17
1005051203923-01;Quito;3
1005051582053-01;Quito;3
1005051696066-01;Cotacachi;1
1005053246365-01;Quito;1
1005062436001-01;Naranjal;1
1005062550143-01;Playas;9
1005063214742-01;Machala;19
1005071537894-01;Atacames;19
1005071825523-01;Portoviejo;2
1005072376067-01;Ruminahui;2
1005081591693-01;Quito;11
1005082811844-01;Guayaquil;9
1005082916523-01;Guayaquil;13
1005090450374-01;Guayaquil;1
1005092090614-01;Quito;1
1005100893704-01;Portoviejo;12
1005101954155-01;Guayaquil;9
1005162252759-01;Machala;1
1005171070583-01;Guayaquil;1
1005172364061-01;Quito;1
1005181942206-01;Quito;19
1005183322220-01;Guayaquil;1
1005190199337-01;Latacunga;7
1005190276919-01;Quito;2
1005191171462-01;Guayaquil;1
1005191707011-01;Quito;1
1005192280475-01;Riobamba;4
1005193130590-01;El Triunfo;2
1005200763327-01;Guayaquil;1
1005203474227-01;Quito;1
1005210152100-01;Quito;2
1005212781973-01;Quito;1
1005220389901-01;Guayaquil;2
1005231794618-01;Quito;1
1005231864030-01;Guayaquil;3
1005232964369-01;Manta;1
1005240042697-01;Guayaquil;1
1005240188195-01;Santa Ana;1
1005241936458-01;Quito;2
1005250385047-01;Quito;3
1005251934991-01;Quito;1
1005253309926-01;Lago Agrio;1
1005260058227-01;Quito;1
1005262419262-01;Ibarra;1
1005263162395-01;Guayaquil;7
1005270021884-01;Guayaquil;1
1005273578991-01;Guayaquil;1
1005280815521-01;Esmeraldas;1
1005281715284-01;Quevedo;3
1005292629454-01;Samborondon;1
1005292734264-01;Samborondon;1
1005293438177-01;Quito;1
1005293500841-01;Quito;1
1005300633926-01;Quito;8
1005300924405-01;Daule;5
1005312272923-01;Rocafuerte;1
1005312901228-01;Guayaquil;8
1005313449786-01;Quito;15
1005320496473-01;Guayaquil;13
1005330215668-01;Quito;1
1005351064575-01;Pasaje;1
1005361052410-01;Riobamba;7
1005362897702-01;Guayaquil;7
1005390543710-01;Guayaquil;1
1005393238507-01;Otavalo;21
1005420361222-01;Guayaquil;8
1005432031994-01;Quito;1
1005441064715-01;Guayaquil;2
1005450749627-01;Quito;1
1005452171378-01;Salinas;1
1005462025405-01;Guayaquil;4
1005462922654-01;Ventanas;7
1005471951708-01;Quito;8
1005472366280-01;Guayaquil;1
1005473159059-01;Machala;1
1005480236875-01;Guayaquil;1
1005480547117-01;Guayaquil;1
1005482291060-01;Quito;1
1005490142188-01;Guayaquil;27
1005490366745-01;Quito;1
1005490417416-01;Quito;7
1005492667118-01;Guayaquil;10
1005500157349-01;Tulcan;1
1005500924944-01;Guayaquil;1
1005501390090-01;Salinas;1
1005502532043-01;Guayaquil;1
1005510911935-01;Guayaquil;1
1005511404720-01;Riobamba;1
1005512059317-01;Riobamba;1
1005512523588-01;Loja;1
1005512815372-01;Portoviejo;1
1005521055100-01;Quito;1
1005531520257-01;Otavalo;1
1005533150232-01;Riobamba;14
1005540530157-01;Tulcan;1
1005550922239-01;Quito;1
1005551284710-01;Quito;1
1005552802465-01;Guayaquil;1
1005583350518-01;Quito;7
1005630595740-01;Quito;7
1005651299147-01;Machala;9
1005653121458-01;Samborondon;2
1005661762138-01;Quito;1
1005662361316-01;Santa Rosa;1
1005690886904-01;Guayaquil;3
1005692729158-01;Quito;19
1005710654971-01;Guayaquil;1
1005710899973-01;Portoviejo;1
1005711360164-01;Guayaquil;1
1005711781359-01;Guayaquil;2
1005711919451-01;Daule;9
1005721456499-01;Quito;1
1005721687192-01;Portoviejo;1
1005721799369-01;Guayaquil;8
1005730116663-01;Guayaquil;1
1005731290982-01;Quito;1
1005731678361-01;Sucre;5
1005732395889-01;Guayaquil;1
1005732604468-01;Riobamba;1
1005732687250-01;Junin;1
1005740643840-01;Guayaquil;7
1005741786380-01;Portoviejo;1
1005742303143-01;Guayaquil;2
1005742528883-01;Ventanas;8
1005751114432-01;Quito;7
1005752312894-01;Portoviejo;1
1005752317243-01;La Troncal;37
1005760066622-01;Palestina;1
1005761184389-01;Portoviejo;1
1005761698265-01;Guayaquil;9
1005761719045-01;Guayaquil;1
1005762016377-01;Cotacachi;1
1005772787540-01;Guayaquil;1
1005773354796-01;Guayaquil;7
1005781555497-01;Playas;1
1005783469751-01;Sucre;1
1005791720260-01;Daule;4
1005792709888-01;La Libertad;1
1005801153195-01;Naranjal;7
1005801497884-01;Duran;1
1005812940109-01;Milagro;9
1005821043730-01;Guayaquil;1
1005842867490-01;Guayaquil;1
1005883444448-01;Esmeraldas;14
1005890664259-01;Machala;1
1005890934248-01;Antonio Ante;7
1005900397674-01;Isidro Ayora;1
1005901473312-01;Montecristi;1
1005911475055-01;Guayaquil;4
1005912936484-01;Riobamba;21
1005912956150-01;Quito;1
1005920574801-01;Guayaquil;1
1005930441633-01;Guayaquil;1
1005932129733-01;Quito;17
1005932415231-01;Quito;24
1005932827050-01;Guayaquil;1
1005942188804-01;Quito;7
1005952802881-01;Guayaquil;1
1005960164465-01;Daule;1
1005962377726-01;Duran;14
1005962706245-01;Santo Domingo;1
1005963118253-01;Guayaquil;1
1005963403679-01;Quevedo;1
1005970978790-01;Latacunga;1
1005973285281-01;Guayaquil;2
1005991590692-01;Quito;6
1005993318170-01;Quito;1
1006002012364-01;Daule;2
1006011484744-01;Quito;1
1006012294173-01;Milagro;1
1006021657981-01;Urdaneta;1
1006023313227-01;Puebloviejo;1
1006040955282-01;Portoviejo;1
1006041955914-01;Pedro Carbo;1
1006052412643-01;Santiago;7
1006053494777-01;Santa Elena;1
1006060100965-01;Guayaquil;34
1006130285561-01;Quito;8
1006132280352-01;Guayaquil;4
1006140494372-01;Montecristi;1
1006150055268-01;Guayaquil;1
1006152105803-01;Ruminahui;6
1006160005397-01;Pasaje;4
1006160617179-01;Guayaquil;1
1006171532410-01;Cuenca;2
1006171890997-01;Guayaquil;6
1006172692469-01;Guayaquil;31
1006180933411-01;Guayaquil;1
1006181327503-01;Montecristi;1
1006181734062-01;Duran;1
1006181968946-01;Guayaquil;1
1006183581904-01;Machala;30
1006192719964-01;Quito;1
1006200298519-01;Guayaquil;2
1006203559328-01;Cuenca;1
1006210964215-01;Guayaquil;1
1006212573728-01;Guayaquil;2
1006213174984-01;Santo Domingo;1
1006213431468-01;Milagro;1
1006223424192-01;Guayaquil;7
1006230474931-01;Daule;7
1006231917299-01;Quito;1
1006240338314-01;Lago Agrio;1
1006240612516-01;Quito;21
1006241986533-01;Machala;1
1006250208337-01;Guayaquil;1
1006251860509-01;Cuenca;3
1006252003979-01;Portoviejo;1
1006252220724-01;Ibarra;1
1006252456877-01;Quito;4
1006252496097-01;Ambato;1
1006253188337-01;Daule;1
1006262467924-01;Cotacachi;1
1006273515831-01;Duran;17
1006291949823-01;Guayaquil;1
1006292349836-01;Quevedo;17
1006333302282-01;Guayaquil;5
1006371493643-01;Quito;10
1006371631132-01;Las Naves;4
1006382305973-01;Portoviejo;2
1006390344960-01;Guayaquil;1
1006392471463-01;Cuenca;6
1006401018180-01;Quito;1
1006401516397-01;Quevedo;4
1006401818734-01;Quito;1
1006402181839-01;Palestina;1
1006402528167-01;Guayaquil;1
1006402947900-01;Quito;1
1006403256285-01;Guayaquil;1
1006410617924-01;Duran;1
1006412225465-01;Guayaquil;2
1006412249146-01;Manta;1
1006413200863-01;Guayaquil;8
1006421849224-01;Machala;1
1006430887762-01;Daule;1
1006430967162-01;Quito;6
1006431587003-01;Guayaquil;25
1006433034482-01;Shushufindi;1
1006440383243-01;Machala;10
1006442874215-01;Santa Rosa;1
1006452059573-01;Quito;1
1006452307504-01;Guayaquil;1
1006452536764-01;Guayaquil;1
1006452860712-01;Quito;6
1006460021616-01;Quito;5
1006462274281-01;Guayaquil;1
1006462456129-01;Atacames;1
1006463197022-01;Guayaquil;1
1006463272463-01;Samborondon;17
1006470071473-01;Quito;1
1006470339968-01;Guayaquil;1
1006470492814-01;Quito;1
1006472958482-01;Samborondon;1
1006473236336-01;Quito;1
1006482742523-01;Isidro Ayora;1
1006491728086-01;Samborondon;1
1006493163968-01;El Carmen;1
1006500360942-01;Loja;1
1006502160217-01;Loja;1
1006512255952-01;Guayaquil;1
1006512655749-01;Mocache;1
1006512691293-01;Puerto Quito;1
1006522724090-01;Loja;1
1006530230130-01;Duran;1
1006580020216-01;Ibarra;1
1006630360285-01;Guayaquil;1
1006630381481-01;Quito;1
1006630630480-01;Ambato;8
1006631193232-01;Machala;5
1006633247063-01;Santo Domingo;1
1006633251719-01;Quito;1
1006642387770-01;Guayaquil;1
1006650395256-01;Quito;1
1006651657038-01;Quevedo;1
1006652643715-01;Guayaquil;2
1006652947550-01;Daule;11
1006661291393-01;Quito;1
1006663395505-01;Quito;2
1006672317860-01;Guayaquil;1
1006672713396-01;Santo Domingo;1
1006680216553-01;Quito;20
1006680445570-01;Cuenca;2
1006682836739-01;Quito;1
1006683343067-01;Portoviejo;1
1006693532340-01;Guayaquil;1
1006700999164-01;Guayaquil;1
1006702007956-01;Quito;1
1006711471583-01;Palestina;1
1006711620654-01;Ibarra;1
1006713488170-01;Santa Elena;1
1006720033885-01;Pedro Vicente Maldonado;1
1006720631627-01;Quito;3
1006721267934-01;Cuenca;1
1006721575878-01;Quito;10
1006732293729-01;Guayaquil;10
1006733312894-01;Guayaquil;11
1006733436775-01;Quito;1
1006741694880-01;Otavalo;1
1006741727008-01;Quito;2
1006742815816-01;Esmeraldas;1
1006743579239-01;Guayaquil;17
1006750016573-01;Guayaquil;1
1006750237049-01;Quito;2
1006750345383-01;Quito;3
1006751548685-01;La Joya De Los Sachas;2
1006752786659-01;Quito;1
1006761353035-01;Guayaquil;19
1006761423940-01;Quito;14
1006761827739-01;El Guabo;11
1006761962500-01;La Joya De Los Sachas;1
1006763243572-01;Machala;2
1006773350326-01;Milagro;1
1006780559763-01;Guayaquil;1
1006783399486-01;Guayaquil;20
1006830442485-01;Macas;9
1006841520321-01;Quito;1
1006850539025-01;Pedernales;1
1006851867257-01;La Libertad;4
1006861614950-01;Palestina;1
1006862019712-01;Portoviejo;22
1006863144805-01;Quito;6
1006870281909-01;Guayaquil;1
1006870838594-01;Daule;1
1006872794883-01;Samborondon;1
1006873008098-01;Quito;7
1006882596835-01;Daule;1
1006890007831-01;Quito;1
1006890729792-01;Guayaquil;1
1006900489280-01;Salinas;1
1006900954240-01;Guayaquil;3
1006901582609-01;Quito;3
1006902802148-01;Guayaquil;4
1006902838588-01;Guayaquil;1
1006910209781-01;Quito;1
1006910456629-01;Quito;1
1006912393678-01;Guayaquil;5
1006912432418-01;Azogues;1
1006920213985-01;Milagro;7
1006922092928-01;Machala;18
1006923341230-01;Macas;6
1006932153873-01;Salinas;6
1006940232333-01;Quito;7
1006941615668-01;Guayaquil;1
1006942518003-01;Quito;10
1006942536795-01;Saquisili;2
1006950292243-01;Quito;17
1006950332732-01;Latacunga;1
1006951734875-01;Guayaquil;12
1006953084643-01;Guayaquil;1
1006953503200-01;Puyo;2
1006963000030-01;Guayaquil;2
1006970383230-01;Cumanda;1
1006971301423-01;Quito;1
1006971339534-01;Santa Elena;1
1006972630699-01;Portoviejo;1
1006980302206-01;Quito;8
1006980715919-01;Quito;9
1006981817207-01;Quito;2
1006990634013-01;Cuenca;1
1006992500577-01;Guayaquil;1
1006993014015-01;Cuenca;1
1006993198367-01;Guayaquil;29
1007001255613-01;Quito;1
1007002398420-01;Rocafuerte;1
1007003245338-01;Quito;1
1007003594013-01;Quito;8
1007012081347-01;Quininde;2
1007013509194-01;Cuenca;1
1007022244142-01;Salinas;1
1007042942798-01;Guayaquil;1
1007092495012-01;Guayaquil;1
1007093531538-01;Duran;1
1007100878273-01;Cuenca;13
1007102044282-01;El Carmen;1
1007110937256-01;Guayaquil;8
1007111731402-01;Quito;12
1007121148160-01;Ibarra;1
1007122394280-01;Guayaquil;1
1007123504741-01;Quito;1
1007130978211-01;Duran;3
1007131165694-01;Daule;1
1007131899960-01;Manta;10
1007132623356-01;Cotacachi;1
1007141849722-01;Samborondon;1
1007142968497-01;Duran;3
1007143244573-01;La Libertad;1
1007151939390-01;Quito;23
1007162481343-01;Guayaquil;2
1007162887617-01;Santo Domingo;1
1007163056924-01;Guayaquil;1
1007163457746-01;Ambato;11
1007170548544-01;Cuenca;4
1007170657234-01;Guayaquil;1
1007171346566-01;Loja;1
1007180260544-01;Guayaquil;1
1007180350965-01;Chimbo;1
1007180425914-01;Santo Domingo;1
1007181203568-01;Pasaje;1
1007182309146-01;Machala;1
1007182505350-01;Guayaquil;1
1007190017729-01;Quito;1
1007190412396-01;Guayaquil;1
1007192266558-01;Quito;4
1007192583350-01;Babahoyo;8
1007193178139-01;Quininde;6
1007200692684-01;Portoviejo;2
1007200822201-01;Quito;4
1007201386879-01;Guayaquil;1
1007201996951-01;Guayaquil;10
1007202316438-01;Santa Elena;28
1007210379208-01;Guayaquil;1
1007210619053-01;Duran;2
1007211448615-01;Cuenca;2
1007211512653-01;El Empalme;1
1007212356573-01;Guayaquil;1
1007213468285-01;Guayaquil;1
1007220017546-01;Nobol;1
1007220071380-01;Samborondon;1
1007220352100-01;Portoviejo;23
1007220715608-01;Puerto Lopez;1
1007221419131-01;Guayaquil;1
1007222217404-01;Ambato;2
1007230580201-01;Guayaquil;1
1007230832678-01;Portoviejo;1
1007231871576-01;Manta;1
1007233151970-01;Guayaquil;2
1007250309045-01;Guayaquil;1
1007251191895-01;Rocafuerte;2
1007263468190-01;Daule;27
1007272698015-01;Guayaquil;1
1007281003317-01;Guayaquil;25
1007312334335-01;Montecristi;20
1007320338860-01;Milagro;1
1007322748285-01;Pedernales;1
1007330659779-01;Milagro;1
1007340846708-01;Jipijapa;1
1007342518357-01;Ibarra;1
1007342904975-01;Ruminahui;1
1007351495930-01;Quito;1
1007351793548-01;Lago Agrio;1
1007351996696-01;Manta;2
1007352078846-01;Daule;1
1007352716222-01;Portoviejo;1
1007352808026-01;Santo Domingo;1
1007360613943-01;Guayaquil;1
1007360945917-01;Guayaquil;1
1007361433221-01;Guayaquil;1
1007361714468-01;Santo Domingo;9
1007362670311-01;Santa Elena;1
1007370057832-01;Santo Domingo;1
1007370378413-01;Quito;1
1007370632517-01;Riobamba;1
1007370898067-01;Quito;19
1007370912380-01;Cuenca;1
1007372200828-01;Guayaquil;2
1007372237052-01;Quito;25
1007372571952-01;Pichincha;9
1007373334531-01;Manta;2
1007373426152-01;Santo Domingo;1
1007373497894-01;Guayaquil;8
1007373568256-01;Guayaquil;1
1007381504232-01;La Libertad;1
1007381576731-01;Guayaquil;1
1007382084112-01;Guayaquil;7
1007382766310-01;Guayaquil;1
1007383237633-01;Quito;1
1007383310342-01;Quito;1
1007383322378-01;Guayaquil;1
1007390198076-01;Quito;18
1007390598221-01;Quito;17
1007390650093-01;Quito;1
1007391154761-01;Naranjal;1
1007391384413-01;Machala;1
1007391647103-01;Quito;17
1007391803054-01;Guayaquil;3
1007392127938-01;Guayaquil;1
1007392422461-01;Portoviejo;2
1007392435987-01;Samborondon;1
1007392512191-01;Daule;1
1007392535232-01;Orellana;1
1007392874248-01;Guayaquil;1
1007393017508-01;Machala;1
1007393056564-01;Guayaquil;7
1007393289153-01;Portoviejo;2
1007393452313-01;Duran;1
1007400066061-01;Penipe;1
1007400081623-01;Palestina;1
1007400938251-01;Guayaquil;1
1007401249065-01;Guayaquil;1
1007401688436-01;Quito;1
1007401925733-01;Guayaquil;6
1007401991611-01;Naranjal;1
1007403087154-01;Ambato;1
1007403351207-01;Guayaquil;1
1007410038486-01;Guayaquil;4
1007410207593-01;Santo Domingo;2
1007410273548-01;Sucre;1
1007410300713-01;Guayaquil;1
1007410735711-01;Manta;1
1007411341461-01;Guayaquil;1
1007411344248-01;Machala;1
1007411666558-01;Quito;1
1007411676348-01;Chone;2
1007411708692-01;Guayaquil;5
1007411718589-01;Portoviejo;1
1007411787210-01;Azogues;1
1007412133513-01;Duran;2
1007412344686-01;Guayaquil;1
1007412782457-01;Guayaquil;3
1007412941932-01;Quito;1
1007413161678-01;Portoviejo;1
1007413398975-01;Manta;2
1007420160689-01;Guayaquil;2
1007421132066-01;Milagro;2
1007421151778-01;Quito;6
1007421572420-01;La Libertad;1
1007422137546-01;Yantzaza;1
1007422432207-01;Santa Elena;1
1007422862776-01;Quito;2
1007423558846-01;Guayaquil;2
1007430176841-01;Guayaquil;2
1007430640374-01;Machala;1
1007430811459-01;Quito;1
1007431614980-01;Portoviejo;1
1007431922476-01;Duran;1
1007431986048-01;Guayaquil;2
1007432187391-01;Guayaquil;1
1007432624363-01;Duran;2
1007433056286-01;Quito;2
1007433547498-01;Quito;1
1007441227617-01;Babahoyo;1
1007442117957-01;Sucre;4
1007442182203-01;Guayaquil;1
1007443333523-01;Milagro;1
1007443499500-01;Chone;1
1007443553474-01;Santo Domingo;2
1007450252185-01;Guayaquil;1
1007450364732-01;Machala;1
1007450858341-01;Portoviejo;1
1007451114516-01;Machala;1
1007451902953-01;Lago Agrio;1
1007451947432-01;Guayaquil;2
1007452149062-01;Naranjal;1
1007452544749-01;Daule;2
1007452931131-01;Quito;1
1007453088924-01;Guayaquil;13
1007460406331-01;Quito;15
1007460799823-01;Guayaquil;2
1007460908252-01;Quito;6
1007461909241-01;Loja;1
1007470330674-01;Esmeraldas;1
1007470901019-01;Pasaje;1
1007471185223-01;Machala;1
1007472149075-01;San Cristobal;1
1007472384637-01;Guayaquil;1
1007472724424-01;Guayaquil;1
1007472864963-01;Esmeraldas;1
1007473566081-01;Guayaquil;1
1007480738352-01;Guayaquil;5
1007481784414-01;Guayaquil;28
1007491467306-01;Playas;1
1007492225189-01;Quito;16
1007492983649-01;Guayaquil;1
1007502711090-01;Puyo;1
1007512534981-01;Santa Elena;1
1007550908956-01;Samborondon;1
1007570256357-01;Quito;1
1007580580439-01;Guayaquil;1
1007581593321-01;Ambato;2
1007581956758-01;Orellana;1
1007582131721-01;Pasaje;11
1007582550799-01;Santo Domingo;1
1007583310661-01;Tena;1
1007590589924-01;Quininde;1
1007591117016-01;Machala;1
1007601612517-01;Portoviejo;1
1007602707030-01;Quito;1
1007603204239-01;Cuenca;1
1007610316561-01;Ambato;4
1007610815417-01;Ibarra;1
1007611398240-01;Puebloviejo;1
1007612031261-01;Guayaquil;1
1007613545561-01;Esmeraldas;1
1007621514914-01;Tena;1
1007621719320-01;Tena;1
1007621766098-01;Catamayo;1
1007630878459-01;Loja;1
1007631245055-01;Pedro Moncayo;1
1007631281907-01;Guayaquil;1
1007632293942-01;Santo Domingo;1
1007632607524-01;Guaranda;1
1007651121193-01;Samborondon;1
1007651725448-01;Guayaquil;1
1007662291759-01;Quito;2
1007663137617-01;Chone;1
1007670169310-01;Quito;4
1007670525374-01;Quito;11
1007671577540-01;Samborondon;17
1007672019371-01;Esmeraldas;1
1007672425133-01;Milagro;1
1007673199793-01;Portoviejo;1
1007680972025-01;Santo Domingo;1
1007681407078-01;Quito;1
1007682054605-01;Quito;1
1007682086888-01;Guayaquil;1
1007682202671-01;Esmeraldas;28
1007690578712-01;Chone;1
1007690926725-01;Guayaquil;2
1007701945079-01;Pedernales;1
1007703026286-01;Camilo Ponce Enriquez;1
1007712338352-01;Quito;1
1007712512402-01;Guayaquil;1
1007713043209-01;Zamora;2
1007721474229-01;Quininde;1
1007793123251-01;Quito;11
1007813372154-01;Quito;31
1007820408150-01;Machala;1
1007823434854-01;Quito;1
1007831059157-01;Guayaquil;4
1007831209718-01;Esmeraldas;1
1007831743932-01;Quito;5
1007840717443-01;Quito;11
1007853064897-01;Daule;1
1007870505620-01;Cuenca;1
1007872218756-01;Santa Elena;1
1007872316685-01;Portoviejo;1
1007872578044-01;La Libertad;2
1007880395322-01;Guayaquil;26
1007881564503-01;Latacunga;8
1007882824922-01;Guayaquil;11
1007890514686-01;Quito;2
1007891092295-01;Esmeraldas;1
1007902683329-01;Ruminahui;14
1007910637935-01;Quito;1
1007920616798-01;Quito;1
1007923192041-01;Santa Elena;8
1007932658768-01;La Mana;2
1007941931829-01;Cañar;1
1007942393752-01;Guayaquil;3
1007942641153-01;Guayaquil;2
1007943215376-01;Cuenca;1
1007952211072-01;Guayaquil;18
1008052666727-01;Guayaquil;5
1008061058248-01;Guayaquil;1
1008062496524-01;Quito;1
1008073172858-01;Samborondon;8
1008081698459-01;Quito;22
1008091225737-01;Quevedo;1
1008101335080-01;Milagro;1
1008101673907-01;Riobamba;1
1008102029036-01;Duran;1
1008102127188-01;Zamora;5
1008110829676-01;Santa Elena;1
1008111458393-01;Orellana;1
1008112419620-01;Milagro;1
1008112861574-01;Machala;1
1008112966014-01;Salinas;1
1008112988552-01;Guayaquil;1
1008113005804-01;Lago Agrio;1
1008113379666-01;Pujili;1
1008120636117-01;Lago Agrio;1
1008121823555-01;Santa Lucia;1
1008122218330-01;Quito;4
1008130659251-01;Antonio Ante;1
1008130945665-01;Samborondon;17
1008132635254-01;Ambato;1
1008133214704-01;Puyo;1
1008141990004-01;Quito;1
1008142539472-01;San Jacinto De Yaguachi;1
1008153010198-01;Cuenca;25
1008162384167-01;Guayaquil;1
1008171373864-01;Guayaquil;1
1008172665675-01;Pedernales;2
1008172910981-01;Quito;1
1008180057643-01;Duran;1
1008180699720-01;San Miguel De Urcuqui;1
1008182136563-01;Guayaquil;1
1008182245813-01;Pedro Carbo;1
1008182454500-01;Milagro;1
1008183280134-01;Duran;1
1008190148472-01;Esmeraldas;1
1008190777861-01;Quito;1
1008190846723-01;Yantzaza;1
1008191776067-01;Guayaquil;1
1008193328776-01;Quito;1
1008193430906-01;Quito;2
1008203175610-01;Guayaquil;1
1008203405380-01;Montufar;1
1008221997823-01;Guayaquil;1
1008222837050-01;Riobamba;1
1008240249203-01;Milagro;21
1008260719413-01;Guayaquil;18
1008281270594-01;Quito;5
1008291195408-01;Santo Domingo;1
1008300676771-01;Guayaquil;4
1008300684525-01;Guayaquil;3
1008301163064-01;Guayaquil;1
1008301752623-01;Quininde;1
1008302001441-01;Ibarra;1
1008303275064-01;Guayaquil;2
1008311635668-01;Esmeraldas;1
1008312052594-01;Quito;1
1008320638038-01;Quito;27
1008321256328-01;Simon Bolivar;1
1008321462656-01;Riobamba;1
1008322435368-01;Naranjito;1
1008322574935-01;Antonio Ante;1
1008331943712-01;Quito;1
1008332891368-01;Simon Bolivar;1
1008333089101-01;Quito;1
1008333167099-01;Naranjal;1
1008340270125-01;Lago Agrio;1
1008340932537-01;Guayaquil;13
1008341185148-01;Guayaquil;1
1008342039675-01;Guayaquil;1
1008342327759-01;Quito;1
1008342391164-01;Quito;1
1008343317132-01;Guayaquil;6
1008352114014-01;Santa Isabel;27
1008352390975-01;Guayaquil;1
1008352762190-01;Tena;1
1008353288530-01;Riobamba;1
1008360741709-01;Guayaquil;5
1008361507771-01;Duran;4
1008361749789-01;Milagro;2
1008362188233-01;Samborondon;18
1008370061049-01;Cuenca;1
1008370418855-01;Quininde;1
1008370583719-01;Guayaquil;1
1008371405367-01;Guayaquil;2
1008372240588-01;Quito;1
1008373246921-01;Quito;4
1008380439849-01;Quito;1
1008381509629-01;Quito;1
1008381566831-01;Guayaquil;14
1008381807012-01;Puyo;1
1008382281219-01;Quito;1
1008390683968-01;Machala;1
1008391935832-01;Duran;1
1008401622542-01;Mejia;4
1008401713470-01;Daule;2
1008403556061-01;Marcabeli;3
1008411301455-01;Guayaquil;1
1008411734261-01;Quininde;2
1008413087595-01;Riobamba;1
1008413216411-01;Guayaquil;1
1008422330641-01;Orellana;1
1008423117703-01;Sucua;1
1008423559959-01;Quito;2
1008430318057-01;Machala;1
1008431067859-01;Guayaquil;1
1008431900862-01;Salinas;1
1008522880232-01;Milagro;1
1008550094589-01;Guayaquil;9
1008551082865-01;Samborondon;4
1008551324272-01;Sucua;1
1008551779590-01;Quito;1
1008560732355-01;Guayaquil;1
1008561297324-01;Guayaquil;1
1008561399201-01;Guayaquil;6
1008561671309-01;Quito;1
1008561817202-01;Duran;1
1008562840387-01;Milagro;2
1008563121493-01;Mejia;1
1008570731220-01;Santo Domingo;1
1008571946501-01;Guayaquil;1
1008571986060-01;Machala;1
1008572063116-01;Guayaquil;1
1008572554359-01;Cuenca;2
1008573073090-01;Otavalo;4
1008573366707-01;Guayaquil;2
1008580675533-01;Quito;2
1008581244724-01;Loja;2
1008583081963-01;Machala;1
1008590392579-01;Cuenca;3
1008590553174-01;Quito;1
1008591059484-01;Bolivar;1
1008592690876-01;El Carmen;1
1008593113806-01;Guayaquil;2
1008603199534-01;Quito;15
1008611150031-01;Guayaquil;1
1008611828872-01;Quito;1
